iter	Passed	Remaining
0	1	132
1	2	121
2	3	126
3	5	132
4	6	129
5	8	128
6	9	128
7	11	129
8	12	128
9	14	127
10	15	128
11	17	128
12	18	127
13	20	125
14	21	124
15	23	122
16	24	122
17	26	121
18	28	119
19	29	118
20	31	116
21	32	114
22	33	113
23	35	112
24	37	111
25	38	110
26	40	108
27	41	107
28	43	105
29	44	104
30	46	102
31	47	101
32	49	100
33	50	98
34	52	96
35	53	94
36	54	93
37	56	91
38	57	90
39	59	88
40	60	87
41	61	84
42	62	83
43	64	81
44	65	80
45	66	78
46	68	76
47	69	75
48	70	73
49	72	72
50	73	71
51	75	69
52	76	68
53	78	66
54	79	64
55	80	63
56	81	61
57	83	60
58	84	58
59	86	57
60	87	55
61	88	54
62	90	53
63	92	51
64	93	50
65	94	48
66	95	47
67	97	45
68	98	44
69	100	42
70	101	41
71	103	40
72	104	38
73	106	37
74	107	35
75	109	34
76	110	33
77	111	31
78	113	30
79	114	28
80	116	27
81	118	25
82	119	24
83	121	23
84	122	21
85	124	20
86	125	18
87	126	17
88	128	15
89	129	14
90	131	12
91	132	11
92	133	10
93	135	8
94	136	7
95	138	5
96	139	4
97	140	2
98	142	1
99	143	0
