iter	Passed	Remaining
0	94	94728
1	96	48325
2	98	32758
3	100	25032
4	102	20415
5	104	17326
6	106	15175
7	109	13546
8	111	12278
9	113	11226
10	115	10380
11	117	9686
12	119	9055
13	120	8516
14	123	8087
15	125	7700
16	127	7355
17	129	7076
18	131	6796
19	133	6544
20	135	6323
21	137	6107
22	138	5901
23	140	5728
24	142	5561
25	144	5402
26	146	5266
27	148	5138
28	149	5015
29	151	4914
30	154	4815
31	155	4708
32	157	4615
33	159	4525
34	160	4435
35	162	4353
36	165	4294
37	166	4222
38	168	4149
39	170	4086
40	171	4020
41	173	3961
42	175	3907
43	177	3850
44	178	3798
45	180	3753
46	182	3706
47	184	3659
48	186	3613
49	188	3577
50	190	3536
51	191	3492
52	193	3459
53	195	3429
54	197	3395
55	200	3372
56	202	3342
57	204	3317
58	206	3291
59	208	3260
60	210	3235
61	212	3220
62	214	3194
63	216	3173
64	218	3150
65	220	3125
66	223	3106
67	225	3090
68	227	3065
69	229	3047
70	231	3026
71	233	3006
72	235	2989
73	237	2971
74	239	2952
75	241	2938
76	244	2927
77	246	2909
78	248	2897
79	250	2882
80	252	2866
81	255	2855
82	256	2830
83	258	2813
84	261	2810
85	263	2797
86	265	2788
87	268	2779
88	270	2766
89	272	2757
90	274	2743
91	276	2727
92	278	2720
93	280	2706
94	283	2696
95	285	2692
96	287	2678
97	289	2667
98	292	2657
99	294	2646
100	296	2639
101	298	2628
102	300	2615
103	302	2607
104	304	2598
105	306	2583
106	308	2577
107	310	2567
108	312	2555
109	314	2548
110	317	2540
111	318	2528
112	320	2519
113	323	2510
114	324	2500
115	327	2495
116	329	2483
117	330	2471
118	332	2462
119	351	2578
120	353	2568
121	355	2558
122	357	2548
123	361	2551
124	363	2545
125	365	2538
126	367	2527
127	369	2518
128	372	2511
129	374	2507
130	377	2502
131	379	2496
132	381	2488
133	384	2484
134	386	2478
135	388	2470
136	392	2469
137	394	2463
138	397	2465
139	400	2460
140	402	2454
141	404	2444
142	406	2438
143	408	2430
144	411	2429
145	414	2424
146	417	2421
147	420	2418
148	423	2420
149	426	2417
150	430	2419
151	433	2415
152	436	2418
153	442	2428
154	444	2423
155	447	2421
156	450	2417
157	453	2415
158	456	2415
159	459	2413
160	461	2404
161	466	2413
162	469	2409
163	472	2407
164	474	2402
165	477	2398
166	479	2394
167	483	2392
168	485	2387
169	488	2383
170	491	2381
171	494	2378
172	497	2379
173	501	2379
174	503	2372
175	506	2371
176	508	2366
177	511	2361
178	514	2358
179	518	2360
180	521	2359
181	524	2357
182	527	2353
183	529	2349
184	532	2346
185	535	2341
186	537	2337
187	540	2333
188	543	2333
189	546	2328
190	551	2334
191	555	2338
192	559	2338
193	562	2337
194	565	2334
195	568	2333
196	571	2328
197	573	2323
198	575	2317
199	578	2312
200	580	2307
201	582	2302
202	585	2297
203	587	2291
204	589	2287
205	592	2282
206	594	2276
207	597	2273
208	599	2268
209	601	2263
210	604	2259
211	606	2254
212	609	2250
213	611	2245
214	613	2240
215	616	2235
216	618	2230
217	620	2226
218	623	2221
219	625	2216
220	627	2212
221	629	2207
222	632	2202
223	634	2198
224	636	2193
225	639	2189
226	641	2185
227	644	2180
228	646	2176
229	649	2172
230	651	2169
231	654	2165
232	656	2160
233	658	2156
234	661	2152
235	663	2147
236	665	2143
237	667	2138
238	670	2133
239	672	2128
240	674	2123
241	676	2119
242	679	2116
243	681	2112
244	683	2107
245	686	2102
246	690	2104
247	692	2100
248	694	2096
249	697	2091
250	699	2086
251	702	2084
252	704	2080
253	707	2077
254	709	2072
255	712	2069
256	715	2068
257	718	2066
258	721	2064
259	724	2061
260	742	2102
261	745	2098
262	747	2094
263	749	2090
264	752	2086
265	754	2082
266	757	2080
267	759	2075
268	762	2070
269	765	2068
270	767	2064
271	770	2061
272	772	2057
273	775	2054
274	777	2049
275	779	2045
276	782	2043
277	785	2039
278	788	2036
279	790	2033
280	792	2028
281	795	2024
282	797	2021
283	801	2020
284	804	2019
285	807	2014
286	810	2012
287	812	2008
288	814	2004
289	818	2002
290	820	1998
291	822	1995
292	825	1992
293	829	1992
294	832	1989
295	835	1986
296	837	1981
297	839	1977
298	842	1974
299	843	1969
300	848	1971
301	851	1967
302	854	1965
303	857	1962
304	859	1959
305	861	1954
306	864	1950
307	866	1947
308	868	1942
309	871	1939
310	873	1935
311	875	1929
312	877	1925
313	879	1921
314	882	1918
315	884	1914
316	886	1910
317	890	1908
318	892	1904
319	894	1900
320	896	1896
321	898	1892
322	900	1887
323	902	1883
324	904	1878
325	906	1874
326	908	1870
327	910	1865
328	912	1860
329	914	1857
330	918	1855
331	920	1852
332	922	1848
333	924	1843
334	927	1840
335	929	1836
336	932	1833
337	934	1830
338	938	1830
339	940	1826
340	943	1822
341	945	1819
342	948	1815
343	950	1812
344	952	1809
345	954	1805
346	957	1802
347	960	1798
348	963	1796
349	966	1794
350	968	1790
351	970	1787
352	973	1784
353	975	1780
354	978	1778
355	981	1774
356	983	1772
357	987	1770
358	989	1767
359	992	1764
360	995	1761
361	998	1759
362	1000	1755
363	1003	1752
364	1006	1750
365	1008	1747
366	1011	1744
367	1016	1744
368	1018	1742
369	1022	1740
370	1024	1737
371	1027	1735
372	1030	1731
373	1032	1728
374	1035	1725
375	1037	1722
376	1040	1719
377	1042	1715
378	1045	1712
379	1047	1709
380	1050	1705
381	1052	1703
382	1055	1700
383	1057	1697
384	1060	1694
385	1064	1692
386	1067	1690
387	1070	1688
388	1073	1685
389	1076	1683
390	1078	1680
391	1081	1677
392	1084	1674
393	1086	1671
394	1089	1669
395	1092	1666
396	1095	1663
397	1098	1662
398	1101	1658
399	1104	1657
400	1107	1653
401	1109	1650
402	1112	1647
403	1115	1645
404	1117	1642
405	1120	1638
406	1122	1636
407	1125	1633
408	1128	1630
409	1130	1627
410	1132	1623
411	1136	1621
412	1138	1618
413	1141	1616
414	1144	1612
415	1146	1609
416	1148	1605
417	1150	1602
418	1153	1599
419	1155	1595
420	1157	1592
421	1160	1589
422	1162	1585
423	1164	1582
424	1166	1578
425	1168	1574
426	1171	1572
427	1174	1569
428	1176	1565
429	1178	1562
430	1181	1559
431	1183	1556
432	1186	1553
433	1189	1550
434	1191	1547
435	1193	1544
436	1196	1541
437	1198	1538
438	1201	1534
439	1203	1531
440	1205	1528
441	1208	1525
442	1210	1522
443	1212	1518
444	1215	1515
445	1217	1512
446	1219	1508
447	1221	1505
448	1223	1501
449	1225	1498
450	1229	1496
451	1231	1493
452	1234	1490
453	1236	1486
454	1238	1483
455	1240	1479
456	1242	1476
457	1244	1472
458	1246	1469
459	1248	1465
460	1250	1462
461	1253	1459
462	1255	1455
463	1257	1452
464	1259	1449
465	1261	1445
466	1263	1442
467	1265	1438
468	1267	1435
469	1269	1431
470	1271	1428
471	1273	1424
472	1276	1422
473	1279	1419
474	1281	1415
475	1283	1412
476	1285	1409
477	1287	1405
478	1289	1402
479	1291	1399
480	1293	1395
481	1296	1392
482	1297	1389
483	1300	1386
484	1302	1383
485	1304	1379
486	1306	1376
487	1308	1373
488	1310	1369
489	1312	1366
490	1314	1363
491	1317	1359
492	1319	1356
493	1321	1353
494	1323	1350
495	1325	1347
496	1328	1344
497	1330	1340
498	1331	1337
499	1333	1333
500	1335	1330
501	1337	1327
502	1339	1323
503	1341	1320
504	1343	1317
505	1345	1313
506	1347	1310
507	1349	1306
508	1351	1303
509	1353	1300
510	1355	1296
511	1357	1293
512	1359	1290
513	1361	1287
514	1363	1284
515	1366	1281
516	1368	1278
517	1370	1275
518	1372	1271
519	1374	1268
520	1376	1265
521	1378	1262
522	1380	1259
523	1382	1255
524	1384	1252
525	1386	1249
526	1388	1246
527	1390	1243
528	1392	1239
529	1394	1236
530	1396	1233
531	1398	1230
532	1401	1227
533	1403	1224
534	1405	1221
535	1408	1219
536	1411	1217
537	1413	1213
538	1415	1210
539	1418	1207
540	1420	1205
541	1423	1202
542	1425	1200
543	1428	1197
544	1431	1194
545	1433	1191
546	1436	1189
547	1439	1187
548	1441	1184
549	1444	1182
550	1447	1179
551	1451	1178
552	1454	1175
553	1458	1174
554	1461	1172
555	1464	1169
556	1468	1167
557	1470	1165
558	1473	1162
559	1475	1159
560	1479	1157
561	1482	1155
562	1485	1153
563	1489	1151
564	1492	1149
565	1495	1146
566	1498	1144
567	1500	1141
568	1504	1139
569	1506	1136
570	1509	1134
571	1512	1131
572	1516	1130
573	1518	1127
574	1521	1124
575	1524	1121
576	1526	1118
577	1529	1116
578	1531	1113
579	1534	1111
580	1536	1108
581	1539	1105
582	1542	1103
583	1546	1101
584	1549	1099
585	1552	1096
586	1554	1093
587	1558	1091
588	1561	1089
589	1564	1087
590	1567	1084
591	1570	1082
592	1575	1081
593	1578	1079
594	1581	1076
595	1584	1074
596	1587	1071
597	1590	1069
598	1593	1066
599	1596	1064
600	1598	1061
601	1602	1059
602	1604	1056
603	1607	1053
604	1609	1050
605	1612	1048
606	1614	1045
607	1617	1042
608	1620	1040
609	1622	1037
610	1625	1034
611	1627	1031
612	1630	1029
613	1632	1026
614	1635	1023
615	1637	1021
616	1640	1018
617	1643	1015
618	1645	1012
619	1648	1010
620	1650	1007
621	1652	1004
622	1655	1001
623	1657	998
624	1660	996
625	1662	993
626	1664	990
627	1666	987
628	1669	984
629	1671	981
630	1674	979
631	1676	976
632	1678	973
633	1680	970
634	1682	967
635	1684	964
636	1686	961
637	1688	958
638	1690	955
639	1692	952
640	1694	949
641	1696	946
642	1698	943
643	1700	940
644	1703	937
645	1705	934
646	1707	931
647	1709	928
648	1711	925
649	1714	923
650	1717	920
651	1719	917
652	1721	914
653	1723	911
654	1725	908
655	1727	906
656	1729	903
657	1731	900
658	1734	897
659	1736	894
660	1738	891
661	1741	888
662	1743	885
663	1745	883
664	1747	880
665	1749	877
666	1751	874
667	1754	871
668	1756	868
669	1758	866
670	1760	863
671	1762	860
672	1764	857
673	1766	854
674	1767	851
675	1770	848
676	1772	845
677	1773	842
678	1776	839
679	1778	836
680	1780	833
681	1782	831
682	1784	828
683	1785	825
684	1787	822
685	1789	819
686	1791	816
687	1793	813
688	1795	810
689	1797	807
690	1799	804
691	1802	802
692	1804	799
693	1806	796
694	1808	793
695	1810	790
696	1812	787
697	1814	785
698	1816	782
699	1819	779
700	1821	776
701	1823	773
702	1825	771
703	1827	768
704	1829	765
705	1832	762
706	1834	760
707	1836	757
708	1839	754
709	1840	751
710	1842	749
711	1845	746
712	1846	743
713	1848	740
714	1851	737
715	1853	735
716	1855	732
717	1857	729
718	1858	726
719	1860	723
720	1862	720
721	1864	717
722	1866	715
723	1868	712
724	1870	709
725	1872	706
726	1874	703
727	1876	701
728	1878	698
729	1880	695
730	1882	692
731	1884	689
732	1887	687
733	1889	684
734	1891	681
735	1893	679
736	1895	676
737	1898	674
738	1901	671
739	1903	668
740	1905	666
741	1907	663
742	1909	660
743	1911	657
744	1913	655
745	1915	652
746	1917	649
747	1920	646
748	1922	644
749	1924	641
750	1926	638
751	1928	636
752	1930	633
753	1932	630
754	1934	627
755	1936	625
756	1938	622
757	1940	619
758	1942	616
759	1944	614
760	1946	611
761	1948	608
762	1950	605
763	1952	603
764	1954	600
765	1956	597
766	1958	594
767	1960	592
768	1962	589
769	1964	586
770	1966	584
771	1968	581
772	1970	578
773	1973	576
774	1975	573
775	1977	570
776	1980	568
777	1982	565
778	1984	563
779	1986	560
780	1988	557
781	1991	555
782	1993	552
783	1995	549
784	1998	547
785	1999	544
786	2002	541
787	2004	539
788	2006	536
789	2008	534
790	2010	531
791	2013	528
792	2015	526
793	2018	523
794	2020	520
795	2022	518
796	2024	515
797	2026	513
798	2029	510
799	2030	507
800	2032	505
801	2035	502
802	2037	499
803	2039	497
804	2041	494
805	2043	491
806	2045	489
807	2048	486
808	2050	484
809	2053	481
810	2055	478
811	2057	476
812	2059	473
813	2061	470
814	2062	468
815	2065	465
816	2067	463
817	2069	460
818	2071	457
819	2073	455
820	2075	452
821	2077	449
822	2079	447
823	2081	444
824	2084	442
825	2086	439
826	2088	436
827	2090	434
828	2092	431
829	2094	429
830	2096	426
831	2098	423
832	2101	421
833	2103	418
834	2105	416
835	2107	413
836	2109	410
837	2111	408
838	2113	405
839	2115	402
840	2117	400
841	2120	397
842	2121	395
843	2123	392
844	2126	389
845	2128	387
846	2130	384
847	2132	382
848	2134	379
849	2136	377
850	2138	374
851	2140	371
852	2143	369
853	2145	366
854	2147	364
855	2150	361
856	2152	359
857	2154	356
858	2156	353
859	2158	351
860	2160	348
861	2162	346
862	2165	343
863	2167	341
864	2169	338
865	2171	336
866	2173	333
867	2176	330
868	2178	328
869	2181	325
870	2183	323
871	2185	320
872	2187	318
873	2189	315
874	2191	313
875	2193	310
876	2195	307
877	2197	305
878	2199	302
879	2201	300
880	2204	297
881	2206	295
882	2208	292
883	2210	290
884	2212	287
885	2214	284
886	2217	282
887	2219	279
888	2221	277
889	2224	274
890	2226	272
891	2228	269
892	2232	267
893	2234	264
894	2237	262
895	2239	259
896	2242	257
897	2245	255
898	2248	252
899	2250	250
900	2255	247
901	2257	245
902	2260	242
903	2262	240
904	2264	237
905	2267	235
906	2270	232
907	2274	230
908	2277	228
909	2281	225
910	2283	223
911	2287	220
912	2289	218
913	2292	215
914	2295	213
915	2298	210
916	2301	208
917	2304	205
918	2307	203
919	2309	200
920	2312	198
921	2315	195
922	2318	193
923	2321	190
924	2324	188
925	2327	185
926	2331	183
927	2335	181
928	2338	178
929	2341	176
930	2344	173
931	2348	171
932	2351	168
933	2353	166
934	2356	163
935	2359	161
936	2362	158
937	2365	156
938	2368	153
939	2371	151
940	2374	148
941	2376	146
942	2380	143
943	2382	141
944	2385	138
945	2387	136
946	2390	133
947	2393	131
948	2395	128
949	2398	126
950	2400	123
951	2402	121
952	2405	118
953	2408	116
954	2410	113
955	2412	111
956	2415	108
957	2418	106
958	2420	103
959	2423	100
960	2425	98
961	2428	95
962	2430	93
963	2433	90
964	2435	88
965	2437	85
966	2441	83
967	2443	80
968	2446	78
969	2449	75
970	2451	73
971	2454	70
972	2460	68
973	2463	65
974	2466	63
975	2469	60
976	2472	58
977	2475	55
978	2478	53
979	2481	50
980	2484	48
981	2486	45
982	2489	43
983	2492	40
984	2494	37
985	2497	35
986	2499	32
987	2501	30
988	2503	27
989	2506	25
990	2508	22
991	2510	20
992	2512	17
993	2516	15
994	2518	12
995	2520	10
996	2523	7
997	2525	5
998	2528	2
999	2530	0
